id_agresor,sexo_agre,edad_agre,r_fam_vic,conv_agre,r_nofiliar,zona_conf,armas
AGR_000473,M,23,2,1,,2,3
AGR_000474,M,28,21,2,,2,
AGR_000475,M,22,2,1,,2,3
AGR_000476,F,23,3,2,,1,10
AGR_000477,M,40,1,1,,2,3
AGR_000478,M,65,14,2,,2,
AGR_000479,M,22,23,2,,2,
AGR_000480,M,40,,,,2,4
AGR_000481,M,40,22,2,,2,
AGR_000482,M,12,23,2,,2,3
AGR_000483,M,20,2,1,,2,3
AGR_000484,M,50,15,1,,2,15
AGR_000485,M,43,23,2,,2,
AGR_000486,M,42,1,1,,2,15
AGR_000487,M,39,21,1,,2,
AGR_000488,M,35,,,,2,3
AGR_000489,M,27,6,2,,2,4
AGR_000490,M,34,2,1,,2,3
AGR_000491,M,68,2,1,,2,
AGR_000492,M,61,2,1,,2,4
AGR_000493,M,28,3,2,,2,3
AGR_000494,M,37,,,,1,
AGR_000495,M,51,1,1,,2,3
AGR_000496,M,29,1,1,,2,3
AGR_000497,F,41,10,1,,2,3
AGR_000498,M,18,17,2,,2,
AGR_000499,M,32,2,1,,2,15
AGR_000500,M,30,8,2,,2,
AGR_000501,M,99,2,2,,1,1
AGR_000502,M,24,19,2,,2,
AGR_000503,M,35,22,2,,1,
AGR_000504,M,25,18,2,,2,
AGR_000505,M,47,2,1,,2,
AGR_000506,M,35,2,1,,2,3
AGR_000507,M,39,15,1,,2,
AGR_000508,M,30,22,2,,2,3
AGR_000509,F,42,7,2,,2,3
AGR_000510,M,31,6,1,,2,3
AGR_000511,M,57,14,1,,2,
AGR_000512,F,0,25,1,2,2,
AGR_000513,F,0,22,1,,2,15
AGR_000514,,0,25,2,11,2,
AGR_000515,F,0,23,1,,2,3
AGR_000516,M,0,25,2,7,2,15
AGR_000517,M,0,25,2,2,2,11
AGR_000518,M,25,25,2,8,2,
AGR_000519,M,31,24,1,,2,3
AGR_000520,SD,99,25,2,10,2,
AGR_000521,M,25,25,2,7,2,
AGR_000522,M,18,25,2,2,2,
AGR_000523,F,45,10,1,,2,3
AGR_000524,F,2,22,1,,2,4
AGR_000525,F,30,24,2,,2,
AGR_000526,M,27,25,2,3,2,
AGR_000527,M,8,25,2,2,2,
AGR_000528,M,35,25,2,2,2,15
AGR_000529,M,36,7,2,,2,
AGR_000530,M,50,23,2,,2,
AGR_000531,M,12,18,2,,2,
AGR_000532,M,32,9,1,,2,
AGR_000533,M,14,6,2,,2,
AGR_000534,M,48,23,2,,2,
